name,website,website_verified,phone,email,size,employees,revenue_estimate,revenue_low,revenue_high,revenue_indicators,services,address,company_number,source
TRUCK TYRES NATIONAL LTD,,False,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National scope,,"Unit 389 275 New North Road, Islington, London, United Kingdom, N1 7AA",16707059,Companies House
TRUCK TYRES UK LIMITED,,False,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National scope,,"Blue Square Offices Ltd, Bath Street, Glasgow, Scotland, G2 4JR",SC644925,Companies House
TRUCK TYRE SUPPLIES UK LIMITED,,False,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National scope,,"St Thomas House, 83 Wolverhampton Road, Cannock, Staffordshire, United Kingdom, WS11 1AR",11032022,Companies House
TRUCK TYRE WHOLESALERS LIMITED,,False,,,Small-Medium,5-15,£300K - £1M,300000,1000000,Wholesale/Distribution,,"12 Old Slade Lane, Iver, England, SL0 9DR",13417279,Companies House
FLEET TYRE NETWORK LIMITED,,False,,,Small-Medium,5-15,£300K - £1M,300000,1000000,Network,,"Micheldever Station, Winchester, Hampshire, SO21 3AP",07888473,Companies House
TRUCK TYRE FLEET SERVICES LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"1 Thorncliffe View, Leek, England, ST13 6QB",16262244,Companies House
TRUCK TYRE LEASING LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"280 Main Road, Walters Ash, High Wycombe, Buckinghamshire, England, HP14 4TJ",03158142,Companies House
TRUCK TYRES DIRECT LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"24 Dalkeith Place, Kettering, England, NN16 0BS",15105571,Companies House
TRUCK TYRES 4 U LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"121 Lark Lane, Liverpool, England, L17 8UR",15543670,Companies House
TRUCK TYRES (LONDON) LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"167 Turners Hill, Cheshunt, Hertfordshire, EN8 9BH",05853394,Companies House
TRUCK TYRE SOLUTIONS LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Station Road, Rowley Regis, W Midlands, United Kingdom, B65 0LJ",05733614,Companies House
TRUCK TYRES ONLINE LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Booth Street Chambers, 32 Booth Street, Ashton-Under-Lyne, Lancashire, England, OL6 7LQ",16049229,Companies House
TRUCK TYRES 2 U LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"C/O Knight Brown Accountants, 3 Crewe Road, Sandbach, Cheshire, United Kingdom, CW11 4NE",12781618,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT CAMBS LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",16141864,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT NORWICH LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",16141882,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT SOUTH LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",13046940,Companies House
ANGLIA TRUCK TYRE MANAGEMENT LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",04183442,Companies House
A2 TRUCK TYRE LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Thames House, Roman Square, Sittingbourne, Kent, United Kingdom, ME10 4BJ",11261015,Companies House
BARON TRUCK TYRES LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Unit 14, Kettlestring Park Kettlestring Lane, Clifton Moor, York, United Kingdom, YO30 4XF",06833810,Companies House
BIRMINGHAM TRUCK TYRE LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Kent Space, Suite 2026 6-8 Revenge Road, Chatham, England, ME5 8UD",08481309,Companies House
CAR VAN TRUCK TYRES LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"29 Whitegate Drive Whitegate Drive, Blackpool, England, FY3 9AA",08035616,Companies House
DRS MOBILE TRUCK TYRES SERVICE LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"62 Walbrook Road, Derby, England, DE23 8RY",16139729,Companies House
HARRY'S TRUCK TYRES LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"200 Knolton Way, Slough, Berkshire, United Kingdom, SL2 5RS",16009864,Companies House
SYLLA TRUCK TYRES LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Flat 69 Kelvedon House, Guildford Road, London, England, SW8 2DW",13847848,Companies House
TA9 TRUCK TYRES LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Goodwood House, Blackbrook Park Avenue, Taunton, Somerset, United Kingdom, TA1 2PX",16043526,Companies House
T.T.S. TRUCK TYRE SPECIALISTS LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Truck Tyre Specialists Warne Road, Winterstoke Commercial Centre, Weston-Super-Mare, England, BS23 3UU",01379569,Companies House
247 TRUCK TYRES LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"599 London Road, Reading, United Kingdom, RG6 1AT",16948484,Companies House
A5 TRUCK & TRAILER REPAIR LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Unit 2 Watling Cres, Shawell Depot, Lutterworth, United Kingdom, LE17 6AR",15288672,Companies House
AGR TRUCK & TRAILER LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Block 4 Levenside Road, Vale Of Leven Industrial Estat, Dumbarton, United Kingdom, G82 3PD",SC778510,Companies House
AKL TRUCK & TRAILER REPAIRS LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"10a High Street, Market Deeping, Peterborough, England, PE6 8EB",07589275,Companies House
COMMERCIAL TYRES LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Vantage Quay, 5 Brewer Street, Manchester, England, M1 2ER",10615294,Companies House
COMMERCIAL TYRE SERVICES (BRISTOL) LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Unit 5 Willment Way, Bristol, England, BS11 8DJ",11334504,Companies House
COMMERCIAL TYRES OFF HIGHWAY LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Tructyre House Princesway North, Team Valley, Gateshead, England, NE11 0NF",08555956,Companies House
COMMERCIAL TYRE SOLUTIONS LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",15143167,Companies House
COMMERCIAL TYRE SUPPLIES LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"6a Cissplatt Lane,, Keelby,, DN41 8HU",07754686,Companies House
AM COMMERCIAL TYRE’S LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"5 Cables Wynd House, Edinburgh, Scotland, EH6 6DF",SC846604,Companies House
ASHFORD COMMERCIAL TYRES LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"57 Kingsmead Avenue, Sunbury On Thames, Middlesex, TW16 5HL",07322542,Companies House
BARTON COMMERCIAL TYRES LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Barton Lorry Park, Barton, Richmond, North Yorishire, DL10 6NB",02039874,Companies House
EAST DENE COMMERCIAL TYRES LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"7 East Crescent, Rotherham, England, S65 2RT",13300388,Companies House
FAST FIT COMMERCIAL TYRES LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"6 St. Georges Square, Portsmouth, England, PO1 3EY",15947304,Companies House
J.S COMMERCIAL TYRES LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"23 Turnberry Court Bentley, Doncaster, South Yorkshire, England, DN5 0UL",16100479,Companies House
P.A. RISK COMMERCIAL TYRE SERVICES LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"12 Station Court, Station Approach, Wickford, Essex, SS11 7AT",04486928,Companies House
ROADSTAR COMMERCIAL TYRES LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"3 Ferndown, Crawley, England, RH10 3SB",16581991,Companies House
SOUTH WEST COMMERCIAL TYRES LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"South West Crane Hire Tan Lane, St Thomas, Exeter, Devon, United Kingdom, EX2 8EG",16339735,Companies House
TT COMMERCIAL TYRES LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"72 Springfield Avenue, Shirehampton, Bristol, England, BS11 9TQ",16846304,Companies House
WESSEX COMMERCIAL TYRES LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"139 Engineer Road, West Wilts Trading Estate, Westbury, Wiltshire, England, BA13 4JW",06686704,Companies House
ATL MOBILE TRUCK WASH LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"29 Creek Road, Hayling Island, England, PO11 9QZ",10833005,Companies House
C & G MOBILE TRUCK AND TRAILER REPAIRS LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"35 Kenilworth Drive, Padgate, Warrington, England, WA1 3JT",11626516,Companies House
MOBILE TRUCK AND BUS ENGINEERING LTD.,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Private Road No 5 Private Road 5, Colwick, Nottingham, England, NG4 2JU",09398056,Companies House
MOBILE TRUCK & COACH REPAIRS LTD,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"1st Floor, The Smithyside, 7 Bell Villas, Ponteland, Newcastle Upon Tyne, United Kingdom, NE20 9BD",15843978,Companies House
MOBILE TRUCK & TRAILER LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"C/O Stem Accountants Limited, Office 1, The Hive St. James Square, Grimsby, North East Lincolnshire, United Kingdom, DN31 1EP",05743475,Companies House
MOBILE TRUCK WASHING SERVICES LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Miners View 3 Whiterow Cottages, Greenhow Hill, Harrogate, England, HG3 5JQ",06412890,Companies House
FLEET TYRES DIRECT LIMITED,,False,,,Small,1-5,£50K - £300K,50000,300000,Standard,,"Unit 55 Brunel Road, Bedford, MK41 9TJ",09289284,Companies House
