name,website,website_verified,is_truck_tyre,phone,email,size,employees,revenue_estimate,revenue_low,revenue_high,revenue_indicators,services,address,company_number,source
Etyres - Ayr Autoplex Cars & Commercials (Bridgend Motor Group),,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National,,,,Thomson Local
TRUCK TYRES NATIONAL LTD,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National,,"Unit 389 275 New North Road, Islington, London, United Kingdom, N1 7AA",16707059,Companies House
TRUCK TYRES UK LIMITED,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National,,"Blue Square Offices Ltd, Bath Street, Glasgow, Scotland, G2 4JR",SC644925,Companies House
TRUCK TYRE SUPPLIES UK LIMITED,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,National,,"St Thomas House, 83 Wolverhampton Road, Cannock, Staffordshire, United Kingdom, WS11 1AR",11032022,Companies House
TRUCK TYRE WHOLESALERS LIMITED,,False,,,,Small-Medium,5-15,£300K - £1M,300000,1000000,Wholesale,,"12 Old Slade Lane, Iver, England, SL0 9DR",13417279,Companies House
Commercial Tyre Service,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Wirral Tyres & Commercial,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Se Tyres Commercial,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Tyres Northampton Commercial LLP,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Commercial Contract Tyres,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Greenwood Commercial Tyres Recovery & Repairs,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Commercial Tyre Services,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
Etyres - Lowestoft Car & Commercial,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,,,Thomson Local
TRUCK TYRE FLEET SERVICES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"1 Thorncliffe View, Leek, England, ST13 6QB",16262244,Companies House
TRUCK TYRE LEASING LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"280 Main Road, Walters Ash, High Wycombe, Buckinghamshire, England, HP14 4TJ",03158142,Companies House
TRUCK TYRES DIRECT LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"24 Dalkeith Place, Kettering, England, NN16 0BS",15105571,Companies House
TRUCK TYRES 4 U LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"121 Lark Lane, Liverpool, England, L17 8UR",15543670,Companies House
TRUCK TYRES (LONDON) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"167 Turners Hill, Cheshunt, Hertfordshire, EN8 9BH",05853394,Companies House
TRUCK TYRE SOLUTIONS LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Station Road, Rowley Regis, W Midlands, United Kingdom, B65 0LJ",05733614,Companies House
TRUCK TYRES ONLINE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Booth Street Chambers, 32 Booth Street, Ashton-Under-Lyne, Lancashire, England, OL6 7LQ",16049229,Companies House
TRUCK TYRES 2 U LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"C/O Knight Brown Accountants, 3 Crewe Road, Sandbach, Cheshire, United Kingdom, CW11 4NE",12781618,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT CAMBS LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",16141864,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT NORWICH LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",16141882,Companies House
ANGLIAN TRUCK TYRE MANAGEMENT SOUTH LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",13046940,Companies House
ANGLIA TRUCK TYRE MANAGEMENT LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"37-41 Holywells Road, Ipswich, Suffolk, United Kingdom, IP3 0DL",04183442,Companies House
A2 TRUCK TYRE LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Thames House, Roman Square, Sittingbourne, Kent, United Kingdom, ME10 4BJ",11261015,Companies House
BARON TRUCK TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 14, Kettlestring Park Kettlestring Lane, Clifton Moor, York, United Kingdom, YO30 4XF",06833810,Companies House
BIRMINGHAM TRUCK TYRE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Kent Space, Suite 2026 6-8 Revenge Road, Chatham, England, ME5 8UD",08481309,Companies House
CAR VAN TRUCK TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"29 Whitegate Drive Whitegate Drive, Blackpool, England, FY3 9AA",08035616,Companies House
DRS MOBILE TRUCK TYRES SERVICE LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"62 Walbrook Road, Derby, England, DE23 8RY",16139729,Companies House
HARRY'S TRUCK TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"200 Knolton Way, Slough, Berkshire, United Kingdom, SL2 5RS",16009864,Companies House
SYLLA TRUCK TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Flat 69 Kelvedon House, Guildford Road, London, England, SW8 2DW",13847848,Companies House
TA9 TRUCK TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Goodwood House, Blackbrook Park Avenue, Taunton, Somerset, United Kingdom, TA1 2PX",16043526,Companies House
T.T.S. TRUCK TYRE SPECIALISTS LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Truck Tyre Specialists Warne Road, Winterstoke Commercial Centre, Weston-Super-Mare, England, BS23 3UU",01379569,Companies House
247 TRUCK TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"599 London Road, Reading, United Kingdom, RG6 1AT",16948484,Companies House
RMG HGV & TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"23 Lowfield Drive, Askern, Doncaster, United Kingdom, DN6 0FS",16703486,Companies House
COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Vantage Quay, 5 Brewer Street, Manchester, England, M1 2ER",10615294,Companies House
COMMERCIAL TYRE SERVICES (BRISTOL) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 5 Willment Way, Bristol, England, BS11 8DJ",11334504,Companies House
COMMERCIAL TYRES OFF HIGHWAY LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Tructyre House Princesway North, Team Valley, Gateshead, England, NE11 0NF",08555956,Companies House
COMMERCIAL TYRE SOLUTIONS LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",15143167,Companies House
COMMERCIAL TYRE SUPPLIES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"6a Cissplatt Lane,, Keelby,, DN41 8HU",07754686,Companies House
ACE TYRES COMMERCIAL LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"304 High Street, Orpington, Kent, United Kingdom, BR6 0NF",10512275,Companies House
AM COMMERCIAL TYRE’S LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"5 Cables Wynd House, Edinburgh, Scotland, EH6 6DF",SC846604,Companies House
ASHFORD COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"57 Kingsmead Avenue, Sunbury On Thames, Middlesex, TW16 5HL",07322542,Companies House
BARTON COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Barton Lorry Park, Barton, Richmond, North Yorishire, DL10 6NB",02039874,Companies House
BLACK COUNTRY COMMERCIAL & TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"36 Lichfield Street, Walsall, England, WS1 1TJ",15504034,Companies House
CENTRAL TYRE (COMMERCIAL) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Etel House, Avenue One, Letchworth Garden City, Hertfordshire, SG6 2HU",07760510,Companies House
CLASSIC COMMERCIAL AND TYRE LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"26 Harmer Street, Gravesend, England, DA12 2AX",15485268,Companies House
COMMERCIAL CONTRACT TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"38 Chelsworth Avenue, Ipswich, Suffolk, United Kingdom, IP4 3AY",04232039,Companies House
EAST DENE COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"7 East Crescent, Rotherham, England, S65 2RT",13300388,Companies House
FAST FIT COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"6 St. Georges Square, Portsmouth, England, PO1 3EY",15947304,Companies House
J.S COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"23 Turnberry Court Bentley, Doncaster, South Yorkshire, England, DN5 0UL",16100479,Companies House
JUST TYRES COMMERCIAL (NW) LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Suite 4 48 Westgate, Skelmersdale, England, WN8 8AZ",12789756,Companies House
P.A. RISK COMMERCIAL TYRE SERVICES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"12 Station Court, Station Approach, Wickford, Essex, SS11 7AT",04486928,Companies House
P B TYRES COMMERCIAL LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"P B Tyres Bank Street, Golborne, Warrington, Cheshire, England, WA3 3SN",15322563,Companies House
ROADSTAR COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"3 Ferndown, Crawley, England, RH10 3SB",16581991,Companies House
SOUTHERN TYRES (COMMERCIAL) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Tructyre House Princesway North, Team Valley, Gateshead, England, NE11 0NF",09414873,Companies House
SOUTH WEST COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"South West Crane Hire Tan Lane, St Thomas, Exeter, Devon, United Kingdom, EX2 8EG",16339735,Companies House
TT COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"72 Springfield Avenue, Shirehampton, Bristol, England, BS11 9TQ",16846304,Companies House
TYRE FIGHTER COMMERCIAL LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"5 Mayfield Grove, Dundee, Scotland, DD4 7GZ",SC774234,Companies House
TYRES (NORTHAMPTON) COMMERCIAL LLP,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"3 Warren Yard, Warren Park Stratford Road, Milton Keynes, Buckinghamshire, MK12 5NW",OC305378,Companies House
WESSEX COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"139 Engineer Road, West Wilts Trading Estate, Westbury, Wiltshire, England, BA13 4JW",06686704,Companies House
WIRRAL TYRES & COMMERCIAL LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"16 Bassendale Road, Croft Business Park Bromborough, Wirral, CH62 3QL",05980097,Companies House
FLEET TYRE NETWORK LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Micheldever Station, Winchester, Hampshire, SO21 3AP",07888473,Companies House
FLEET TYRES DIRECT LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 55 Brunel Road, Bedford, MK41 9TJ",09289284,Companies House
DW TYRE & FLEET SERVICES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"42 Birkdale Cop, Southport, United Kingdom, PR8 5DT",15359069,Companies House
FLEETLINE TYRE SERVICES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 1 Pearsall Drive, Oldbury, West Midlands, England, B69 2RA",06292620,Companies House
FLEET MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",16808697,Companies House
TYRE FLEET SERVICES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"4385, 15959838 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",15959838,Companies House
